CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87574194;Mer;O;O;570000;2;160+271;MER;LOIR-ET-CHER;5451;d9432372-6667-11e3-89ff-01f464e0362d;587988,4517;6735009,65;1,506291655;47,70594158;47.7059415752, 1.50629165545;47.7059415752, 1.50629165545;"{""type"": ""Point"", ""coordinates"": [1.506291655453842, 47.7059415751621]}"
87316067;Buire-sur-l'Ancre;N;O;272000;1;148+983;BUIRE-SUR-L'ANCRE;SOMME;3436;29e50a1e-dfbc-11e3-a2ff-01a464e0362d;671236,365;6985247,175;2,599456444;49,96514173;49.9651417311, 2.59945644394;49.9651417311, 2.59945644394;"{""type"": ""Point"", ""coordinates"": [2.599456443937741, 49.965141731114656]}"
87382002;Bécon-les-Bruyères;O;O;975000;1;005+708;BOIS-COLOMBES;HAUTS-DE-SEINE;3149;e171cec6-19bf-11e5-a6ff-01fc64e0362d;646069,1816;6867769,952;2,264253036;48,90766591;48.9076659122, 2.26425303624;48.9076659121, 2.26425303624;"{""type"": ""Point"", ""coordinates"": [2.264253036242498, 48.907665912148815]}"
87545756;Châteaudun;N;O;550000;1;133+248;CHATEAUDUN;EURE-ET-LOIR;3646;c02cbfd4-f312-11e3-90ff-015864e0362d;576257,2633;6776058,239;1,338379096;48,0731838;48.0731838047, 1.33837909586;48.0731838047, 1.33837909586;"{""type"": ""Point"", ""coordinates"": [1.338379095861211, 48.073183804723534]}"
87571810;St-Patrice;N;O;515000;1;268+989;SAINT-PATRICE;INDRE-ET-LOIRE;6621;d9d8f706-6667-11e3-89ff-01f464e0362d;496696,3958;6690709,556;0,309739375;47,28552891;47.2855289083, 0.309739375073;47.2855289083, 0.309739375073;"{""type"": ""Point"", ""coordinates"": [0.309739375073302, 47.285528908303554]}"
87763029;Valence-TGV;N;O;908000;1;010+500;ALIXAN;DROME;9563;d9a0392e-6667-11e3-89ff-01f464e0362d;855912,3266;6434566,329;4,978549257;44,99274215;44.9927421535, 4.9785492574;44.9927421535, 4.9785492574;"{""type"": ""Point"", ""coordinates"": [4.978549257404847, 44.99274215352421]}"
87185249;Lure;O;O;001000;1;410+969;LURE;HAUTE-SAONE;5276;296822f6-dfbc-11e3-a2ff-01a464e0362d;961961,4838;6737191,701;6,492761833;47,68296172;47.6829617249, 6.49276183276;47.6829617248, 6.49276183276;"{""type"": ""Point"", ""coordinates"": [6.492761832761011, 47.68296172482902]}"
87394429;Magny-Blandainville;N;O;500000;1;107+782;MAGNY;EURE-ET-LOIR;5315;d9a40078-6667-11e3-89ff-01f464e0362d;572622,3966;6805160,152;1,281079614;48,33427942;48.3342794212, 1.28107961417;48.3342794212, 1.28107961417;"{""type"": ""Point"", ""coordinates"": [1.281079614171303, 48.334279421202744]}"
87142232;Vignory;O;O;020000;1;284+634;VIGNORY;HAUTE-MARNE;7217;297c42b8-dfbc-11e3-a2ff-01a464e0362d;857591,7354;6798813,763;5,12416918;48,27058134;48.2705813411, 5.12416917958;48.2705813411, 5.12416917958;"{""type"": ""Point"", ""coordinates"": [5.124169179576556, 48.27058134110282]}"
87747451;Brignoud;O;O;909000;1;020+029;VILLARD-BONNOT;ISERE;3403;d9a12924-6667-11e3-89ff-01f464e0362d;927500,1905;6466752,428;5,901324741;45,26249892;45.2624989248, 5.90132474112;45.2624989248, 5.90132474112;"{""type"": ""Point"", ""coordinates"": [5.901324741120957, 45.2624989248208]}"
